"maling_files_link","Måling","N","omraade","valg","parti","prosent","mandat","stemmer","Dato","total_mandat_fylke"
"?cmd=Maling&gallupid=1088","Norfakta / Grannar - 12/5-2011",500,"Vindafjord","Kommunestyrevalg","Ap",16.6,4,83,2011-05-12,25
"?cmd=Maling&gallupid=1089","Sentio / DN - 13/5-2011",1000,"Hele landet","Stortingsvalg","Ap",31,55,310,2011-05-13,169
"?cmd=Maling&gallupid=1090","Respons / Aftenp / Adressa - 13/5-2011",1000,"Hele landet","Kommunestyrevalg","Ap",26.3,3105,263,2011-05-13,10952
"?cmd=Maling&gallupid=1091","InFact / Nordlys - 13/5-2011",1018,"Tromsø","Kommunestyrevalg","Ap",25.8,11,263,2011-05-13,43
"?cmd=Maling&gallupid=1093","Respons / Aftenp / Adressa - 13/5-2011",1000,"Hele landet","Stortingsvalg","Ap",28.1,49,281,2011-05-13,169
"?cmd=Maling&gallupid=1094","InFact / VG - 14/5-2011",2019,"Hele landet","Kommunestyrevalg","Ap",27.6,3319,557,2011-05-14,10952
"?cmd=Maling&gallupid=1095","Sentio / Nationen - 16/5-2011",1000,"Hele landet","Kommunestyrevalg","Ap",30.1,3470,301,2011-05-16,10952
"?cmd=Maling&gallupid=1096","Norfakta / Saltenp - 19/5-2011",500,"Fauske","Kommunestyrevalg","Ap",30.1,9,150,2011-05-19,31
"?cmd=Maling&gallupid=1097","Norstat / VL - 20/5-2011",1000,"Hele landet","Stortingsvalg","Ap",27.6,50,276,2011-05-20,169
"?cmd=Maling&gallupid=1098","Sentio / HA - 21/5-2011",400,"Hamar","Kommunestyrevalg","Ap",30.4,12,122,2011-05-21,39
"?cmd=Maling&gallupid=1099","Norfakta / Saltenp - 21/5-2011",300,"Saltdal","Kommunestyrevalg","Ap",38.3,10,115,2011-05-21,27
"?cmd=Maling&gallupid=1100","Sentio / HA - 23/5-2011",400,"Ringsaker","Kommunestyrevalg","Ap",35.4,15,142,2011-05-23,41
"?cmd=Maling&gallupid=1101","Sentio / HA - 24/5-2011",400,"Stange","Kommunestyrevalg","Ap",39.9,14,160,2011-05-24,35
"?cmd=Maling&gallupid=1102","Norfakta / Saltenp - 24/5-2011",NA,"Sørfold","Kommunestyrevalg","Ap",50,10,NA,2011-05-24,21
"?cmd=Maling&gallupid=1103","Sentio / HA - 25/5-2011",400,"Løten","Kommunestyrevalg","Ap",38.7,10,155,2011-05-25,25
"?cmd=Maling&gallupid=1104","Norfakta / FF - 26/5-2011",162,"Roan","Kommunestyrevalg","Ap",22.7,4,37,2011-05-26,17
"?cmd=Maling&gallupid=1105","Norfakta / Saltenp - 26/5-2011",NA,"Beiarn","Kommunestyrevalg","Ap",32.2,5,NA,2011-05-26,15
"?cmd=Maling&gallupid=1106","Norfakta / FF - 27/5-2011",500,"Rissa","Kommunestyrevalg","Ap",29.9,7,150,2011-05-27,23
"?cmd=Maling&gallupid=1107","Ipsos / Dagbladet - 28/5-2011",942,"Hele landet","Stortingsvalg","Ap",32.3,57,304,2011-05-28,169
"?cmd=Maling&gallupid=1108","Norstat / NRK - 29/5-2011",959,"Hele landet","Kommunestyrevalg","Ap",30.6,3525,293,2011-05-29,10952
"?cmd=Maling&gallupid=1109","Respons / BT - 30/5-2011",600,"Bergen","Kommunestyrevalg","Ap",25.7,17,154,2011-05-30,67
